id	rate
22103	23.9
22105	14.7
22107	40.4
22109	24.4
22111	25.2
22113	25
22115	11.5
22117	23.9
22119	22.8
22121	18.4
22123	33
22125	10.1
22127	27.7
23001	13.4
23003	12.8
23005	10
23007	10.2
23009	7.8
23011	10.5
23013	16.6
23015	20.9
23017	19
23019	10.2
23021	16
23023	11.5
23025	16.4
23027	11.6
23029	17.2
23031	9.3
24001	9.2
24003	11.8
24005	8.2
24009	8.1
24011	19.6
24013	6.6
24015	17.2
24017	11.5
24019	21.2
24021	8.3
24023	15.8
24025	9.1
24027	10.7
24029	7.8
24031	12.7
24033	12.6
24035	13.6
24037	12.5
24039	12.6
24041	16.1
24043	18
24045	8.6
24047	13.7
24510	17
25001	11.5
25003	13.5
25005	12.9
25007	6.7
25009	14.7
25011	12.9
25013	17.5
25015	4.6
25017	9.2
25019	19.8
25021	8.7
25023	11.1
25025	8
25027	10.9
26001	20.6
26003	26.9
26005	17.5
26007	14.8
26009	25.4
26011	18.2
26013	28.8
26015	18.6
26017	12.9
26019	17.9
26021	17.6
26023	24.7
26025	14.2
26027	24.7
26029	11.2
26031	11.4
26033	12.4
26035	21.2
26037	9.3
26039	21.7
26041	16.7
26043	28.3
26045	11.7
26047	10.4
26049	19.7
26051	24.9
26053	15.6
26055	12.3
26057	11.3
26059	14
26061	5.8
26063	13.6
26065	5.9
26067	17
26069	25.2
26071	21.4
26073	5.1
26075	16.8
26077	7.1
26079	19.9
26081	13.2
26083	20.8
26085	36.9
26087	15
26089	17.1
26091	14
26093	12.6
26095	25.7
26097	15.8
26099	13.6
26101	27.8
26103	6.4
26105	24.5
26107	8.7
26109	19.9
26111	13.1
26113	14.1
26115	12.5
26117	18.2
26119	32.3
26121	17.9
26123	21.8
26125	11.7
26127	30
26129	28.6
26131	31.1
26133	23.8
26135	37.1
26137	20.5
26139	8.8
26141	16.2
26143	19.4
26145	15.6
26147	16.7
26149	25.2
26151	17.8
26153	16.7
26155	14
26157	20.4
26159	29.2
26161	5.6
26163	18.8
26165	19
27001	19.4
27003	15.9
27005	18.5
27007	12.8
27009	12.6
27011	43.3
27013	3.1
27015	8.6
27017	13.8
27019	13.1
27021	18
27023	22.7
27025	19.1
27027	5.2
27029	20.8
27031	11.8
27033	29.4
27035	12.8
27037	13.4
27039	13.3
27041	11.5
27043	15.6
27045	21.7
27047	15.9
27049	14.8
27051	15.7
27053	12.1
27055	11.8
27057	19.9
27059	13.1
27061	14.7
27063	10.7
27065	14.6
27067	18.7
27069	16.4
27071	18.8
27073	23.3
27075	13.3
27077	12.9
27079	12.8
27081	17.9
27083	7.3
27085	15.1
27087	27.5
27089	20.4
27091	19.6
27093	20.2
27095	18.4
27097	16.2
27099	27.4
27101	18.9
27103	3.8
27105	41.1
27107	14.4
27109	14
27111	16.4
27113	13.4
27115	14.8
27117	22.5
27119	14.9
27121	20.2
27123	12.7
27125	12.9
27127	17.3
27129	16.1
27131	8.8
27133	14.4
27135	18.9
27137	9
27139	15.6
27141	16.4
27143	18.9
27145	7
27147	15.5
27149	5.3
27151	17.6
27153	24.4
27155	10.3
27157	13.8
27159	22.3
27161	12.6
27163	13.6
27165	24
27167	16.1
27169	4.4
27171	16.1
27173	15.8
28001	16.7
28003	19.2
28005	23.5
28007	25.1
28009	16.8
28011	12.9
28013	23.9
28015	35.1
28017	24.5
28019	15
28021	9.9
28023	16.6
28025	23.1
28027	16.3
28029	15.3
28031	21
28033	18.1
28035	9.2
28037	14.2
28039	18.3
28041	20.9
28043	35.7
28045	17.9
28047	14.8
28049	17.3
28051	13.8
28053	24.6
28055	38.8
28057	8
28059	18.4
28061	18.7
28063	15.9
28065	24.4
28067	18.3
28069	31.6
28071	4.3
28073	12.7
28075	17.9
28077	20.6
28079	28.3
28081	19.5
28083	17.1
28085	16
28087	16.1
28089	15.4
28091	27.6
28093	14.4
28095	21.7
28097	26.9
28099	24.8
28101	17.9
28103	21.2
28105	3.9
28107	24.7
28109	14
28111	31
28113	26.7
28115	14.9
28117	20.4
28119	10.7
28121	15.2
28123	22.9
28125	31.2
28127	22.7
28129	24.9
28131	13.2
28133	23.3
28135	36.6
28137	19.8
28139	12.6
28141	17.9
28143	17.8
28145	20.8
28147	9.8
28149	21.9
28151	28.3
28153	23
28155	9.1
28157	28.5
28159	33.8
28161	9.7
28163	26.3
29001	4.5
29003	21.1
29005	14.3
29007	25.4
29009	23
29011	22.3
29013	11.9
29015	24.1
29017	16.7
29019	3.9
29021	18.3
29023	16.1
29025	33
29027	11.5
29029	17.7
29031	9
29033	16.9
29035	13.9
29037	18.2
29039	19.1
29041	16.1
29043	12.7
29045	12.1
29047	13.3
29049	11.7
29051	18.7
29053	28.1
29055	30.1
29057	15
29059	23.6
29061	42.1
29063	20.1
29065	34.1
29067	20.6
29069	28.4
29071	16.1
29073	8.8
29075	17
29077	8.2
29079	11.6
29081	28.6
29083	18.9
29085	21.7
29087	20.8
29089	12
29091	18.7
29093	16.4
29095	14.2
29097	11.9
29099	15.3
29101	4.5
29103	26.9
29105	24.6
29107	18.5
29109	17.7
29111	9.5
29113	20.7
29115	20.2
29117	20.9
29119	32.4
29121	20.5
29123	16.4
29125	29.5
29127	13.8
29129	24.7
29131	23.6
29133	22.2
29135	29.2
29137	15.7
29139	19.9
29141	32.4
29143	16.3
29145	13.6
29147	3.5
29149	14.8
29151	11.2
29153	29.4
29155	23.3
29157	17
29159	20
29161	9.6
29163	30
29165	10.4
29167	17
29169	4.8
29171	3.6
29173	18
29175	23.6
29177	22
29179	31.7
29181	19.5
29183	9.2
29185	26.7
29186	15.7
29187	24.6
29189	12.5
29195	16
29197	28.6
29199	56.7
29201	19
29203	18.7
29205	16.9
29207	17.2
29209	23.7
29211	23.9
29213	15.6
29215	26.2
29217	16.2
29219	19.5
29221	14.4
29223	24.8
29225	24.6
29227	18.6
29229	24.8
29510	16.1
30001	8.1
30003	31.5
30005	23.7
30007	38.4
30009	24.1
30011	22.2
30013	13.8
30015	28.9
30017	14.4
30019	14.4
30021	7.5
30023	28
30025	7.8
30027	25.8
30029	16.7
30031	5.2
30033	0
30035	20.3
30037	2.3
30039	35.3
30041	11.5
30043	21.9
30045	0.8
30047	24
30049	13.6
30051	29.1
30053	26.7
30055	8.8
30057	13.7
